Aaron	Aaron, -onis (m.)
Abae	Abae, -arum (f.)
Abantes	Abantes, -um (m.); of or belonging to the Abantes, Abantius, -a, -um
Abaris	Abaris, -idis and -is (m.)
Abas	Abas, -antis (m.); of or belonging to Abas, Abanteus, -a, -um; son or descendant of Abas, Abantiades, -ae (m.); daughter or female descendant of Abas, Abantias, -adis (f.)
Abbeville	Abbatis villa (f.)
Abdera	Abdera, -ae (f.), and Abdera, -orum (n.) : an Abderite, Abderites, -ae (m.); of or belonging to Abdera, Abderiticus, -a, -um, and Abderitanus, -a, -um
Abel	Abel, -elis, and Abelus, -i, also Abel, indeclinable (m.); of or belonging to Abel, Abelicus, -a, -um
Abdella	v. Avella
Aberdeen	Aberdona, -ae (f.)
Abigail	Abigail, -ilis (f.)
Abijah	Abias, -ae (m.)
Abila	v. Abyla
Abimelech	Abimelechus, -i (m.)
Abingdon	Abendonia, -ae (f.)
Abnoba	Abnoba, -ae. v. Black Forest
Aborigines	Aborigines, -um (m.)
Aboukir	Canopus, -i (m.)
Abraham	Abraham, -amis, Abrahamus, -i, and Abas, -ae (m.); descendant of Abraham, Abrahamides and Abramides, -ae (m.); of or belonging to Abraham, Abrameus, -a, -um
Abrantes	Abrantium, -ii (n.)
Absalom	Absalon, or Absalo, -onis, and Absalomus, -i (m.)
Absyrtis	v. Osero and Cherso
Absyrtus	Absyrtus, -i (m.)
Abula	v. Avila
Abydos	Abydus, -i (m. and f.); of or belonging to Abydos, Abydenus, -a, -um
Abyla	v. Ceuta
Abyssinia	Abyssinis, -ae (f.)
Acamas	Acamas, -antis (m.)
Acanthus	Acanthus, -i (m.); Acanthean, Acanthius, -a, -um
Acapulco	Portus Aquae Pulchrae
Acarnania	Acarnania, -ae (f.); an Acarnanian, Acarnan, -anis; the Acarnanians, Acarnanes, -um (m.); Acarnanian, Acarnanicus, -a, -um
Acastus	Acastus, -i (m.)
Acca	Acca, -ae (f.)
Ace	v. Acre
Acerenza	Acherontia, -ae (f.)
Acesines	v. Jenaub
Acesta	Acesta, -ae (f.); the Acestans, Acestaei, -orum (m.)
Acestes	Acestes, -ae (m.)
Achaea, Achaia	Achaia, -ae (f.); Achaean, Achaeus, -a, -um; Achaius, -a, -um (poetical); Achivus, -a, -um, and Achaicus, -a, -um; the Achaeans, Achaei, -orum (m.); an Achaean female, Achaias, -adis (f.)
Achaemenes	Achaemenes, -is (m.); of or belonging to Achaemenes, Achaemenius, -a, -um; a descendant of Achaemenes, Achaemenides, -ae (m.)
Acharne	Acharnae, -arum (f.); Acharnian, Acharnanus, -a, -um, and Acharnensis, -e
Achates	Achates, -ae (m.)
Achelous	Achelous, -i (m.); of or belonging to the Achelous, Acheloius, -a, -um; a danghter of the Achelous, Achelois, -idis, and Acheloia -adis
Acheron	Acheron, -ontis (m.); of or belonging to the Acheron, Acherontian, Acheronticus, -a, -um, and Acheronteus, -a, -um; also usually Acherusius, -a, -um
Achillas	Achillas, -ae (m.)
Achilleid	Achilleis, -idis (f.)
Achilles	Achilles, -is (m.), poetical also -ei and -i (after 2d decl.); of or belonging to Achilles, Achilleus, -a, -um, and Achilliacus, -a, -um; a son or descendant of Achilles, Achillides, -ae (m.); the tomb of Achilles, Achilleum, -i (n.)
Acidalia	Acidalia, -ae (f.); of or belonging to Acidalia, Acidalian, Acidalius, -a, -um
Acilia	Acilia, -ae (f.)
Acilius	Acilius, -i (m.); of or belonging to Acilius, Acilius, -a, -um, and Acilianus, -a, -um
Aciris	v. Acri
Acis	Acis, -idis (m), the river; (f.) the island
Acmon	Acmon, -onis (m.)
Acoetes	Acoetes, -ae (m.)
Acragas	v. Agrigentum
Acre, St. Jean d’Acre	Ace, -ea, and Aca, -ae (f.)
Acri	Aciris, -is (m.)
Acricius	Acrisius, -ii (m.); of or belonging to Acrisius, Acrisioneus, -a, -um; son or descendant of Acrisius, Acrisioniades, -ae (m.); daughter or female descendant of Acrisius, Acrisiones, -es, and Acrisioneis, -idis (f.);
Acroceraunian	Acroceraunius, -a, -am; the Acroceraunian mountains, Acroceraunia, -orom (n.)
Acrocorinthus	Acrocorinthus, -i (f.)
Acron	Acron, -onis (m.)
Actaeon	Actaeon, -onis (m.)
Acte	Acte, -es (f.); of or belonging to Acte, Actaean, Actaeus, -a, -um
Actium	Actium, -ii (n.); of or belonging to Actium, Actian, Artiacus, -a, -um, and Actius, -a, -um
Actor	Actor, -oris (m.); son or descendant ofActor, Actorides, -ae
Aculeo	Aculeo, -onis (m.)
Adam	Adamus, -i, also indeclinable, Adam (m.)
Adda	Addua, -ae (f.)
Adeline	Adelina, -ae (f.)
Adherbal	Adherbal, -alis (m.)
Adiabene	Adiabene, -es, and -bena, -ae (f.); of or belonging to Adiabene, Adiabenicus, -a, -um, and Adiabenus, -a, -um
Adige	Athesis, -is (m.)
Admeto	Admeto, -us (f.)
Admetus	Admetus, -i (m.); of or belonging to Admetus, Admetean, Admeteus, -a, -um
Adolphus	Adolphus, -i (m.)
Adonis	Adonis. -is or -idis, and Adon, -onis (m.); of or belonging to Adonis, Adoneus, -a, -um; the festival of Adonis, Adonia, -orum (m.)
Adour	Aturis -is, or Atur, -uris (m.)
Adramyttus	Adramyttium, or -teon, genitive -i (n.), and Adramytteos, -i (f.); of or belonging to Adramyttium, Adnmyttenus, -a, -um
Adrastea	Adrastea or -tia, -ae (f.)
Adrastus	Adrastus, -i (m.); of or belonging to Adrastus, Adrasteus, -a, -um; daughter or female descendant of Adrastus, Adrastis, -idis
Adria	Adriacus, Adrianus, etc., v. Hadria
Adrianople	Adrianopolis, -is (f.)
Adriatic Sea	Sinus Adriaticus
Adrumetum	v. Hadrumetum
Aduatuca	v. Tongres
Aea	Aea, -ae (f.); of or belonging to Aea, Aeaean, Aeaeus, -a, -um
Aeacus	Aeacus, -i (m.); of or belonging to Aeacus, Aeacius, -a, -um; son or descendant of Aeacus, Aeacides, -ae; of or belonging to a son of
Aeacus	Aeacideius,-a, -um
Aeaea	Aaeaee, -es (f.); of or belonging to Aeaea, Aeaeus, -a, -um
Aeas	Aeas, -antis (m.)
Aeanteum	v. Ajax
Aebutius	Aebutius, -i (m.); Aebutian, Aebutius, -a, -um
Aedessa	v. Edessa
